,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX,predicted,actual,error
40,4.5728,1021.7,87.397,4.0737,23.505,1083.9,549.96,134.7,11.883,1.7279,84.253,133.9348,134.7,-0.7652008056640511
41,4.2643,1021.5,88.365,4.0944,23.544,1083.9,549.79,134.32,11.889,1.7017,84.737,133.97643,134.32,-0.3435748291015557
42,4.2732,1021.3,88.375,4.2089,24.291,1088.1,550.1,135.89,12.042,1.5161,85.062,135.13318,135.89,-0.7568212890624864
43,4.2691,1021.2,87.766,4.196,24.088,1086.9,549.98,135.05,11.939,1.4771,85.051,134.61111,135.05,-0.43888549804688637
44,4.393,1021.5,86.622,3.8506,21.467,1037.9,528.08,116.72,11.141,31.971,99.229,114.45584,116.72,-2.264158935546874
45,3.8907,1021.8,88.81,4.1002,23.675,1084.6,550.09,135.07,11.75,1.7859,85.129,133.78442,135.07,-1.2855761718749932
46,3.7124,1022.3,90.196,4.2672,24.149,1087.4,550.16,134.61,11.96,1.5446,85.929,134.5053,134.61,-0.10470520019532614
47,5.1136,1022.8,91.462,5.2454,31.325,1099.6,532.5,156.91,13.671,0.81911,66.938,160.05156,156.91,3.141559448242191
48,6.3887,1022.8,92.302,5.1564,30.83,1099.8,534.63,158.69,13.508,0.74091,67.781,158.01393,158.69,-0.6760687255859352
49,8.2123,1022.4,94.78,4.8574,28.643,1100.1,542.5,151.81,13.113,0.97347,76.702,151.67088,151.81,-0.13911682128906477
50,10.198,1021.9,88.976,4.7889,28.198,1099.8,544.07,149.86,13.046,1.0479,78.061,149.5887,149.86,-0.27130065917970114
51,11.121,1021.8,79.605,4.7062,28.211,1100.4,544.15,149.72,13.084,1.2479,78.062,150.05215,149.72,0.33215454101562614
52,11.246,1021.9,77.457,4.8301,28.96,1100.2,541.54,151.6,13.107,1.1366,75.082,151.6287,151.6,0.028692626953130684
53,11.291,1022.2,77.777,4.1511,24.021,1085.7,549.9,133.7,11.813,1.7195,77.424,133.86221,133.7,0.16221313476563637
54,11.052,1022.2,81.374,4.1384,23.914,1085.3,550.01,133.59,11.83,1.7777,77.22,133.63617,133.59,0.04616943359374659
55,9.9509,1022.3,86.819,4.169,24.103,1086.2,549.92,134.77,11.907,1.8138,77.21,134.41032,134.77,-0.35967590332032273
56,9.0512,1022.4,89.686,4.1568,23.716,1084.0,549.82,133.41,11.783,1.7967,77.328,133.2459,133.41,-0.1641046142578091
57,8.2406,1022.9,88.949,4.3147,24.901,1091.1,550.15,139.36,12.131,1.4134,79.667,137.8331,139.36,-1.5269006347656386
58,7.8063,1023.0,88.166,4.2042,24.063,1086.5,550.13,135.71,11.972,1.7916,79.416,134.63193,135.71,-1.078072509765633
59,6.9265,1023.0,89.427,4.1485,23.407,1082.8,550.02,133.29,11.741,1.9341,81.682,132.73383,133.29,-0.556174316406242
60,6.2019,1022.9,92.396,4.2639,23.767,1085.0,550.21,134.86,11.928,1.7545,81.195,134.05313,134.86,-0.8068688964843886
61,5.838,1022.8,93.29,4.2806,23.68,1084.5,550.05,134.65,11.855,1.6754,81.945,133.86554,134.65,-0.7844604492187557
62,5.6929,1022.7,93.167,4.304,24.038,1086.6,549.99,135.25,11.983,1.6491,83.449,134.40305,135.25,-0.846954345703125
63,5.5346,1022.7,93.228,4.286,24.096,1087.0,550.03,135.14,11.879,1.6431,83.558,134.30553,135.14,-0.8344732666015489
64,5.7913,1021.2,90.801,4.1287,22.917,1062.8,538.95,125.81,11.559,17.437,94.277,125.72562,125.81,-0.08438354492187727
65,5.3449,1021.1,91.843,4.1819,23.648,1084.2,549.91,133.64,11.757,1.5613,84.422,133.69594,133.64,0.05593811035157614
66,5.1123,1020.9,94.465,4.2542,23.638,1084.3,550.03,133.67,11.7,1.4721,83.333,133.6353,133.67,-0.034700317382799994
67,5.3562,1021.0,99.571,4.3758,23.531,1083.7,550.03,133.34,11.664,1.3363,82.396,133.313,133.34,-0.02699645996094091
68,6.094,1021.1,100.18,4.6927,23.781,1086.0,550.12,133.22,11.843,1.4972,82.142,133.91763,133.22,0.6976330566406261
69,7.4314,1020.9,99.956,4.7902,24.566,1089.4,550.0,135.19,12.076,1.3169,81.71,135.72667,135.19,0.5366693115234398
70,8.5936,1020.4,99.724,4.781,24.366,1087.6,550.08,133.76,12.02,1.3219,79.232,134.76262,133.76,1.0026190185546966
71,9.8173,1019.6,97.878,4.7519,23.986,1085.4,550.03,133.75,11.935,1.4898,77.145,133.90144,133.75,0.1514434814453125
72,10.343,1018.5,96.807,4.7638,24.054,1085.4,549.88,133.74,11.915,1.7097,77.139,133.8906,133.74,0.1505944824218659
73,10.712,1017.6,93.895,4.7269,25.167,1091.6,549.86,138.74,12.118,1.3249,78.116,138.26851,138.74,-0.4714910888671966
74,10.599,1017.1,92.698,4.5548,25.415,1093.0,550.22,139.67,12.082,1.3134,79.405,139.053,139.67,-0.617006225585925
75,10.69,1016.9,92.305,4.3562,24.097,1085.4,550.1,133.57,11.857,1.6526,77.231,133.91206,133.57,0.3420635986328193
76,10.247,1016.6,94.086,4.3582,24.009,1084.9,550.07,133.52,11.686,1.7577,77.153,133.62207,133.52,0.10207031249998977
77,9.2286,1016.4,95.86,4.4023,23.568,1082.5,549.98,132.2,11.65,2.1855,77.199,132.18169,132.2,-0.01831359863280113
78,8.8895,1016.5,96.73,4.5986,24.158,1086.0,550.07,134.76,11.798,1.5168,77.084,134.4212,134.76,-0.3387963867187409
79,8.5251,1016.5,94.728,4.452,23.983,1085.2,550.05,134.32,11.767,1.6508,77.305,134.20493,134.32,-0.11507446289061818
80,6.8583,1016.4,92.812,4.4024,23.871,1084.6,549.86,134.74,11.879,1.4624,81.072,134.36192,134.74,-0.3780767822265716
81,5.4839,1016.0,96.092,4.5288,23.852,1084.7,550.1,135.12,11.866,1.8067,82.097,134.25014,135.12,-0.869862670898442
82,5.1159,1015.7,98.623,4.7282,23.843,1084.9,550.09,135.21,11.963,1.9478,82.314,134.36632,135.21,-0.8436822509765705
83,4.9338,1015.3,99.869,4.8521,23.692,1083.8,549.94,134.43,11.851,1.8624,82.891,134.02527,134.43,-0.4047314453125068
84,4.8061,1015.0,100.08,5.0605,24.081,1086.2,550.1,135.49,11.955,1.4915,82.054,134.77031,135.49,-0.7196905517578216
85,5.2138,1015.0,100.18,4.9899,24.161,1086.7,550.17,134.66,12.034,1.3126,81.952,134.98953,134.66,0.3295324707031284
86,5.746,1014.8,100.17,4.963,24.062,1085.8,550.06,134.01,11.83,1.4267,82.146,134.41803,134.01,0.4080297851562591
87,5.9927,1014.3,100.18,5.0052,23.973,1085.2,549.89,133.57,11.786,1.5817,82.062,134.32028,133.57,0.7502819824218818
88,6.3223,1013.9,100.18,5.0599,24.174,1086.3,550.04,134.27,11.94,1.6643,81.967,134.72993,134.27,0.45993469238280227
89,6.734,1013.6,100.17,5.1539,24.313,1086.9,550.08,134.67,11.926,1.6142,82.019,134.84468,134.67,0.174680786132825
90,7.1418,1013.3,100.13,5.1639,24.332,1086.9,549.91,134.51,11.86,1.3204,82.079,134.80972,134.51,0.2997229003906341
91,7.4561,1013.1,99.555,5.2384,24.441,1087.5,550.15,134.87,11.933,1.3139,82.169,134.98975,134.87,0.11974609374999545
92,7.4089,1013.1,98.936,5.2313,23.882,1084.4,550.01,134.02,11.777,1.4937,82.114,134.06378,134.02,0.04378173828123977
93,7.3384,1013.3,100.1,5.499,24.055,1085.2,550.06,134.73,11.936,1.6799,79.398,134.55588,134.73,-0.17412231445311477
94,8.2968,1012.6,100.17,5.8685,24.856,1089.5,550.01,137.97,11.97,1.3188,77.816,137.35979,137.97,-0.6102130126953114
95,9.3303,1011.7,100.17,6.0908,24.425,1086.6,549.97,135.42,11.842,1.6058,76.993,135.07964,135.42,-0.3403643798828
96,10.137,1010.5,100.17,6.358,24.559,1087.0,549.97,135.7,11.801,1.3174,76.04,135.29651,135.7,-0.40349121093748863
97,10.438,1009.1,99.727,6.1715,24.136,1084.5,549.97,133.7,11.802,1.4964,76.057,133.40968,133.7,-0.29031677246092613
98,9.8976,1008.0,100.15,6.0726,24.481,1086.5,549.9,135.65,11.878,1.3149,77.134,135.02403,135.65,-0.6259674072265682
99,9.94,1007.3,100.17,5.9766,24.092,1084.3,549.88,133.75,11.793,1.3819,76.342,133.61044,133.75,-0.139556884765625
100,9.9082,1006.8,100.17,6.0445,24.073,1084.2,549.95,133.75,11.707,1.4919,74.8,133.44687,133.75,-0.303131103515625
101,10.508,1006.4,99.221,5.8844,24.06,1083.7,550.07,133.52,11.678,1.6164,74.578,132.93073,133.52,-0.5892749023437602
102,10.462,1005.6,98.315,5.7329,24.114,1084.5,549.9,133.96,11.806,1.4671,75.424,133.67618,133.96,-0.28382202148438296
103,12.184,1004.6,91.008,4.8536,24.357,1085.8,550.04,134.73,11.865,1.1066,75.595,134.21544,134.73,-0.5145611572265523
104,12.62,1003.9,89.17,4.4631,24.265,1085.3,550.19,134.03,11.894,1.276,74.483,133.88737,134.03,-0.14262512207031364
105,13.981,1002.9,83.262,4.4213,24.372,1086.3,549.98,134.35,11.949,1.3186,75.082,134.22462,134.35,-0.12537536621093182
106,14.742,1002.3,78.706,4.5311,25.55,1092.4,550.27,139.71,12.186,1.3054,79.374,139.0196,139.71,-0.6903924560546955
107,14.991,1001.2,78.481,4.3795,24.408,1086.1,550.07,134.41,11.974,1.6468,74.597,133.93575,134.41,-0.4742547607421841
108,14.867,1000.2,76.831,4.3998,24.568,1086.9,550.01,134.91,11.922,1.292,75.145,134.49931,134.91,-0.4106866455078091
109,14.475,999.49,76.982,4.3433,24.294,1085.0,550.1,133.33,11.761,1.3274,73.822,133.38257,133.33,0.052568359374987494
110,14.936,998.76,75.63,4.4135,24.775,1087.4,549.99,135.35,11.933,1.2177,75.104,134.81516,135.35,-0.5348449707031193
111,14.956,998.01,74.836,4.4128,24.672,1086.7,550.14,134.66,11.805,1.3609,78.443,134.43721,134.66,-0.2227899169921841
112,15.399,996.84,74.237,3.9852,22.193,1048.3,534.51,118.99,11.137,27.25,83.232,117.19669,118.99,-1.7933065795898386
113,16.093,996.28,72.2,4.2949,24.35,1084.8,550.14,133.36,11.711,1.2698,74.45,132.97754,133.36,-0.38246093750001364
114,15.829,995.76,70.396,4.3763,24.644,1086.0,550.15,134.38,11.742,1.1856,75.971,133.88391,134.38,-0.49608886718749545
115,16.092,995.4,69.185,4.3591,24.637,1086.1,550.34,134.32,11.748,1.2879,75.6,133.8485,134.32,-0.4715045166015557
116,16.295,995.0,66.199,4.3641,24.564,1085.5,550.27,133.74,11.786,1.3061,76.234,133.4346,133.74,-0.3053991699218841
117,16.397,994.37,66.738,4.4143,24.824,1086.7,549.88,134.72,11.897,1.3,77.425,134.52782,134.72,-0.19218322753906136
118,16.881,993.51,65.659,4.3718,24.638,1085.6,549.83,133.82,11.895,1.3279,76.363,133.56503,133.82,-0.2549670410156182
119,16.977,992.42,64.813,4.4265,24.747,1085.6,550.29,133.71,11.889,1.3078,77.253,133.60332,133.71,-0.10668273925782046
120,17.435,991.73,63.808,4.3883,24.682,1085.7,550.06,133.74,11.883,1.5358,77.384,133.67477,133.74,-0.0652258300781341
121,18.118,991.01,61.432,4.3286,24.42,1084.1,549.99,132.48,11.804,1.5369,77.266,132.39217,132.48,-0.08783386230467727
122,18.256,990.28,60.258,4.3468,24.655,1085.4,550.37,133.65,11.844,1.2988,77.843,133.14035,133.65,-0.5096496582031307
123,17.916,989.67,61.48,4.3236,24.645,1085.5,550.17,133.74,11.806,1.295,77.969,133.46,133.74,-0.2799932861328216
124,17.937,988.97,62.85,4.3658,24.712,1085.3,549.67,133.46,11.737,1.3245,77.439,133.34018,133.46,-0.11982055664063296
125,17.99,988.63,60.753,4.4593,25.064,1086.3,549.69,134.16,11.809,1.308,79.064,134.68475,134.16,0.5247534179687534
126,18.345,988.2,60.41,4.4171,24.869,1085.9,550.29,133.76,11.778,1.3129,77.401,133.92624,133.76,0.1662390136718841
127,18.925,988.11,56.205,4.3698,24.679,1085.1,550.16,132.83,11.747,1.353,78.668,132.87424,132.83,0.044237060546862494
128,18.864,987.84,56.245,4.3494,24.758,1085.9,549.89,133.13,11.822,1.1937,79.472,133.86766,133.13,0.737660522460942
129,17.91,988.21,64.503,4.2801,24.696,1085.9,549.79,133.66,11.837,1.0446,76.663,133.98203,133.66,0.3220251464843784
130,17.167,988.87,75.068,4.3595,24.712,1085.6,550.36,133.7,11.954,1.0953,75.148,134.0005,133.7,0.30050354003907387
131,15.17,988.65,85.723,4.3959,24.557,1083.9,550.26,132.7,11.806,1.2589,74.49,132.95741,132.7,0.25741271972657387
132,15.144,989.32,85.043,4.3848,24.474,1083.8,550.29,132.49,11.739,1.3671,74.735,132.83322,132.49,0.3432214355468659
133,15.802,990.22,78.479,4.3457,24.4,1083.7,550.16,132.25,11.777,1.3577,75.108,132.63858,132.25,0.388580322265625
134,15.794,990.87,77.336,4.2299,23.861,1074.6,545.86,128.52,11.493,6.6815,81.353,128.40424,128.52,-0.11576416015626023
135,15.327,992.42,77.042,3.9868,22.33,1049.8,535.33,119.04,11.208,26.999,80.448,118.28253,119.04,-0.7574682617187563
136,15.212,993.55,76.841,4.2812,24.651,1086.2,550.05,134.26,11.834,1.4375,74.702,134.5225,134.26,0.2625067138671966
137,15.034,994.75,78.059,4.2485,24.481,1085.7,550.17,133.84,11.76,1.3246,73.992,133.93326,133.84,0.09325805664062159
138,15.403,995.92,76.983,4.2367,24.409,1085.4,550.25,133.53,11.787,1.4918,73.617,133.64824,133.53,0.11823913574218636
139,15.461,996.96,75.899,4.2785,24.655,1086.9,549.97,134.69,11.915,1.2965,76.071,134.5811,134.69,-0.10889953613281023
140,15.821,997.65,75.109,4.2865,24.648,1086.7,550.1,134.69,11.891,1.3339,75.077,134.32048,134.69,-0.3695196533203102
141,16.402,997.88,74.859,4.2386,24.441,1085.7,550.24,133.92,11.865,1.3823,74.383,133.50838,133.92,-0.411622924804675
142,16.416,998.17,73.826,4.225,24.438,1085.0,549.99,133.75,11.866,1.3374,73.995,133.12381,133.75,-0.626190185546875
143,14.628,999.05,79.638,4.2074,24.494,1085.0,550.2,133.75,11.869,1.5402,74.27,133.59735,133.75,-0.15264892578125
144,13.126,999.57,84.483,4.1593,24.254,1084.3,550.15,133.75,11.873,1.6692,74.223,133.46808,133.75,-0.28192138671875
145,12.453,1000.2,89.09,4.1645,24.215,1084.4,550.15,133.73,11.876,1.4605,74.189,133.68742,133.73,-0.04257629394530227
146,11.837,1000.8,91.391,4.1976,24.236,1084.9,550.18,134.23,11.879,1.3247,74.179,134.08945,134.23,-0.14055297851561477
147,11.218,1001.3,94.007,4.2095,24.054,1084.6,549.98,134.0,11.789,1.3963,74.207,133.953,134.0,-0.0469970703125
148,10.958,1001.8,97.01,4.2847,24.223,1085.6,550.27,134.75,11.791,1.0442,72.842,134.53613,134.75,-0.2138671875
149,11.133,1002.3,98.076,4.3442,24.075,1084.1,550.17,133.44,11.756,0.93737,72.02,133.60648,133.44,0.16647583007812727
150,10.816,1002.5,97.742,4.3445,24.368,1085.6,550.3,134.73,11.853,0.80217,74.242,134.58841,134.73,-0.14159057617186477
151,10.367,1002.7,96.624,4.3048,24.184,1085.5,550.13,134.71,11.943,1.3615,74.447,134.71977,134.71,0.009772338867179542
152,9.8253,1002.8,96.429,4.3078,24.215,1085.8,549.94,135.29,11.994,1.7209,75.186,135.06073,135.29,-0.22927001953124204
153,9.1004,1003.0,96.006,4.2451,23.966,1084.7,549.98,134.7,11.943,1.6961,76.684,134.58157,134.7,-0.11842651367186363
154,8.4583,1002.8,97.25,4.2699,24.045,1085.3,550.03,135.27,11.918,1.5312,76.778,134.96982,135.27,-0.30018188476563523
155,7.0444,1006.4,96.843,4.0069,22.229,1048.1,532.44,121.93,11.328,31.538,87.493,118.75699,121.93,-3.173011474609382
156,7.4793,1006.5,96.254,4.1698,23.648,1083.3,550.1,133.52,11.651,1.7969,80.574,133.59517,133.52,0.07516906738280227
157,7.757,1006.4,93.41,4.1479,23.628,1083.3,550.17,133.7,11.676,1.6875,79.718,133.56784,133.7,-0.13215942382811363
158,7.9574,1006.3,92.203,4.1637,23.696,1083.5,549.96,133.7,11.703,1.7095,78.34,133.77705,133.7,0.07705383300782387
159,8.0879,1006.2,90.445,4.1564,23.734,1083.4,549.98,133.71,11.73,1.716,77.952,133.74863,133.71,0.03862670898436704
160,8.1587,1006.6,90.236,4.1639,23.733,1083.3,550.02,133.7,11.757,1.7114,77.872,133.65292,133.7,-0.04707641601561363
161,8.0879,1007.0,91.134,4.1497,23.703,1083.3,549.93,133.7,11.788,1.7121,78.046,133.67853,133.7,-0.02147216796873863
162,7.9906,1007.4,91.253,4.1225,23.735,1083.5,549.97,133.71,11.839,1.6686,78.125,133.9099,133.71,0.19989685058592954
163,7.9425,1007.5,91.599,4.153,23.731,1083.4,550.21,133.71,11.891,1.6961,77.625,133.83269,133.71,0.12268737792967954
164,8.0706,1007.6,92.148,4.1973,23.991,1084.3,549.96,134.51,11.906,1.4806,78.481,134.52226,134.51,0.012262573242196595
165,8.0643,1007.7,91.38,4.1492,23.747,1083.2,549.94,133.71,11.83,1.5596,79.723,133.63568,133.71,-0.07431884765625796
166,8.0512,1007.8,90.384,4.1338,23.751,1083.4,549.9,133.71,11.763,1.7001,80.847,133.68323,133.71,-0.026772460937507958
167,8.0003,1007.9,90.149,4.1711,24.028,1085.2,549.92,135.33,11.84,1.4529,81.59,134.66612,135.33,-0.663877563476575
168,7.7199,1007.8,90.502,4.1487,23.827,1084.4,549.91,134.84,11.831,1.5398,80.856,134.42105,134.84,-0.4189489746093784
169,7.346,1007.7,91.087,4.1449,23.672,1083.8,549.96,134.29,11.826,1.5398,80.513,134.18651,134.29,-0.10349182128905454
170,7.1416,1007.4,91.564,4.2487,24.446,1088.0,549.93,137.78,12.024,1.3072,80.585,136.5193,137.78,-1.2606976318359386
171,7.2742,1007.4,89.448,4.1477,23.832,1084.5,549.89,134.72,11.884,1.5072,79.141,134.63995,134.72,-0.08004638671874886
172,7.2804,1007.6,86.61,4.1006,23.561,1083.2,549.85,133.68,11.84,1.7374,80.357,133.92587,133.68,0.24587280273436818
173,7.1797,1007.5,85.845,4.077,23.541,1083.1,549.98,133.69,11.846,1.7184,80.528,133.85715,133.69,0.16714721679687727
174,7.2261,1007.4,85.64,4.0843,23.606,1083.0,549.99,133.68,11.852,1.7091,80.507,133.82805,133.68,0.14804870605468068
175,7.3346,1007.7,86.45,4.0771,23.65,1083.1,549.96,133.68,11.858,1.7781,80.528,133.88844,133.68,0.20844299316405568
176,7.2752,1008.2,86.306,4.0752,23.698,1083.6,549.96,134.01,11.844,1.6733,80.623,134.15265,134.01,0.1426489257812591
177,7.2419,1008.8,87.374,4.1626,24.248,1086.7,550.1,136.53,11.867,1.3605,81.393,135.06042,136.53,-1.4695751953125011
178,7.334,1009.5,88.411,4.1381,23.997,1085.5,550.14,135.58,11.852,1.4203,81.315,134.68982,135.58,-0.8901806640625125
179,7.6131,1010.1,88.493,4.1167,23.855,1084.4,550.02,134.69,11.834,1.5992,79.828,134.42215,134.69,-0.2678503417968727
180,8.0856,1010.6,87.085,4.0891,23.713,1083.5,550.04,133.75,11.84,1.7317,79.605,133.7207,133.75,-0.029296875
181,8.3858,1010.8,85.419,4.1301,23.925,1084.7,549.99,134.58,11.816,1.5184,79.546,134.4043,134.58,-0.1757031250000125
182,8.5583,1010.8,85.004,4.0974,23.814,1083.7,550.03,133.79,11.779,1.7179,80.457,133.6597,133.79,-0.13030151367186704
183,8.8214,1011.1,84.233,4.0673,23.703,1083.0,550.01,133.15,11.712,1.7171,80.608,133.01764,133.15,-0.13236083984375568
184,9.2077,1011.6,81.548,4.0952,24.05,1085.1,550.01,134.56,11.961,1.6902,80.553,134.4962,134.56,-0.06379943847656477
185,9.3188,1012.3,80.248,4.0969,23.895,1084.1,550.14,133.77,11.886,1.7351,79.455,133.75723,133.77,-0.012767333984385232
186,9.2426,1013.0,83.23,4.5892,27.394,1089.8,541.42,144.39,12.663,1.4706,74.227,144.56673,144.39,0.17672668457032614
187,8.7846,1013.6,85.529,5.4273,33.493,1099.9,526.3,163.93,14.214,0.93444,65.643,164.1748,163.93,0.24480468749999318
188,8.3514,1014.2,85.702,5.4543,33.611,1100.1,525.99,164.63,14.257,0.83749,65.24,164.74165,164.63,0.11165344238281705
189,8.1364,1015.0,85.949,4.0928,23.891,1084.5,549.21,135.0,11.898,1.5584,79.641,134.54839,135.0,-0.4516143798828125
190,7.6534,1015.6,86.663,4.1134,23.886,1085.3,550.0,135.06,11.898,1.5403,79.633,134.63406,135.06,-0.4259362792968773
191,7.4401,1016.0,86.855,4.0703,23.584,1083.8,549.98,133.9,11.915,1.7054,79.563,133.97446,133.9,0.07445678710936932
192,6.8768,1016.2,86.856,4.1191,24.183,1087.2,549.98,136.94,11.926,1.3482,79.726,135.2145,136.94,-1.7255072021484352
193,6.0245,1016.3,87.909,4.067,23.608,1084.1,549.74,134.68,11.827,1.6914,81.662,134.27054,134.68,-0.4094616699218818
194,5.4182,1016.4,90.172,4.2104,23.824,1085.6,549.93,134.27,11.937,1.6448,82.355,134.60808,134.27,0.33807800292967727
195,5.7219,1016.6,88.684,4.2522,24.1,1087.3,549.99,134.33,12.045,1.3191,83.603,135.07762,134.33,0.747621459960925
196,5.8848,1016.8,87.026,4.1904,23.827,1086.2,550.01,133.46,11.88,1.3472,84.265,134.33606,133.46,0.876059570312492
197,5.5817,1016.7,85.499,3.8489,21.035,1035.4,527.44,114.07,11.064,35.019,97.863,112.8976,114.07,-1.1724017333984307
198,5.4317,1016.9,85.524,4.2254,23.854,1086.9,550.19,133.68,11.934,1.3253,84.908,134.3384,133.68,0.6583941650390557
199,5.2603,1016.9,85.059,4.2078,23.877,1086.7,549.96,134.04,11.998,1.3483,85.034,134.57774,134.04,0.5377435302734455
200,4.9838,1016.9,84.006,4.2466,24.108,1088.4,549.84,135.24,12.055,1.3722,85.043,135.39275,135.24,0.1527459716796784
201,5.0631,1016.9,82.765,4.1699,24.11,1088.3,549.82,136.32,12.075,1.356,84.205,135.4991,136.32,-0.8209002685546807
